,Symbol,Date,Open,High,Low,Close,Volume
140,IDXG,2017-07-17,8.7,9.0,8.62,8.85,770500
141,IDXG,2017-07-18,8.75,8.91,8.65,8.74,532200
142,IDXG,2017-07-19,8.7,8.8,8.6,8.7,653500
143,IDXG,2017-07-20,8.7,8.7,8.6,8.6,505500
144,IDXG,2017-07-21,8.8,8.8,8.6,8.7,408900
145,IDXG,2017-07-24,8.9,10.2,8.85,9.99,4942800
146,IDXG,2017-07-25,10.0,10.6,9.5,10.1,6366500
147,IDXG,2017-07-26,10.0,10.2,9.4,9.8,2096800
148,IDXG,2017-07-27,10.6,10.7,9.8,9.9,5305300
149,IDXG,2017-07-28,9.95,9.95,9.02,9.45,1486900
150,IDXG,2017-07-31,9.3,9.35,8.83,9.08,1270400
151,IDXG,2017-08-01,9.0,9.48,8.9,8.95,1041300
152,IDXG,2017-08-02,9.0,9.15,8.63,8.71,865400
153,IDXG,2017-08-03,8.7,9.15,8.66,8.91,763200
154,IDXG,2017-08-04,9.1,9.35,8.9,9.15,671400
155,IDXG,2017-08-07,9.2,9.24,8.85,9.0,547000
156,IDXG,2017-08-08,9.0,9.0,8.8,8.9,315000
157,IDXG,2017-08-09,8.8,8.9,8.7,8.8,337400
158,IDXG,2017-08-10,8.8,9.2,8.7,8.8,1205400
159,IDXG,2017-08-11,8.7,8.8,7.2,8.0,2514800
160,IDXG,2017-08-14,7.9,8.9,7.8,8.3,848800
161,IDXG,2017-08-15,8.9,11.3,8.8,10.8,15233100
162,IDXG,2017-08-16,12.0,15.4,11.7,14.1,41273900
163,IDXG,2017-08-17,13.5,13.6,12.1,12.9,8030400
164,IDXG,2017-08-18,12.7,12.8,11.7,12.3,3333500
165,IDXG,2017-08-21,12.1,13.5,11.7,13.4,3611700
166,IDXG,2017-08-22,14.1,14.8,13.2,13.5,6639900
167,IDXG,2017-08-23,13.2,14.0,12.5,12.8,1763700
168,IDXG,2017-08-24,12.8,12.9,12.2,12.55,1276900
169,IDXG,2017-08-25,12.5,13.7,12.3,13.0,2553300
170,IDXG,2017-08-28,14.1,14.3,13.3,13.6,4563900
171,IDXG,2017-08-29,13.4,13.7,12.9,13.5,1418200
172,IDXG,2017-08-30,13.5,13.8,13.0,13.5,1294600
173,IDXG,2017-08-31,13.7,14.0,13.1,13.1,1385800
174,IDXG,2017-09-01,13.3,13.8,13.1,13.6,1640000
175,IDXG,2017-09-04,13.6,13.6,13.6,13.6,0
176,IDXG,2017-09-05,13.9,17.3,13.9,17.0,15372100
177,IDXG,2017-09-06,16.8,17.0,15.3,15.9,3986600
178,IDXG,2017-09-07,15.3,16.4,15.1,15.9,2387400
179,IDXG,2017-09-08,15.7,16.4,15.3,16.2,1583900
180,IDXG,2017-09-11,16.7,17.7,16.0,16.3,3892800
181,IDXG,2017-09-12,16.4,16.6,15.5,16.0,1160500
182,IDXG,2017-09-13,16.0,16.2,12.3,13.8,4467500
183,IDXG,2017-09-14,13.6,15.3,13.1,14.1,2736200
184,IDXG,2017-09-15,14.0,16.6,13.5,16.4,3531100
185,IDXG,2017-09-18,16.0,16.6,15.1,15.9,2363000
186,IDXG,2017-09-19,15.5,16.0,15.1,15.8,902700
187,IDXG,2017-09-20,16.2,16.2,15.1,15.4,879700
188,IDXG,2017-09-21,15.5,15.6,14.3,14.9,1117700
189,IDXG,2017-09-22,14.7,14.8,14.0,14.1,859700
190,IDXG,2017-09-25,15.7,16.5,14.2,14.8,3598500
191,IDXG,2017-09-26,14.6,15.2,14.2,14.5,913100
192,IDXG,2017-09-27,14.6,14.6,14.0,14.2,856300
193,IDXG,2017-09-28,14.0,14.8,14.0,14.6,843200
194,IDXG,2017-09-29,14.6,15.7,14.6,15.5,1206500
195,IDXG,2017-10-02,15.5,15.7,14.8,14.8,732300
196,IDXG,2017-10-03,14.8,15.3,14.2,14.6,899300
197,IDXG,2017-10-04,14.8,15.3,14.6,14.8,621000
198,IDXG,2017-10-05,15.1,16.9,14.9,16.3,5248300
199,IDXG,2017-10-06,16.5,17.1,15.9,16.2,2608700
200,IDXG,2017-10-09,16.4,16.4,15.1,15.5,1335100
201,IDXG,2017-10-10,15.5,15.8,14.8,15.4,913000
202,IDXG,2017-10-11,17.8,18.0,15.6,16.0,5377700
203,IDXG,2017-10-12,16.1,16.5,15.3,15.7,2506300
204,IDXG,2017-10-13,15.3,15.4,14.7,14.8,1765700
205,IDXG,2017-10-16,15.0,15.3,14.4,14.8,1155500
206,IDXG,2017-10-17,14.9,15.4,14.4,15.1,917000
207,IDXG,2017-10-18,16.2,16.3,14.4,15.1,2697700
208,IDXG,2017-10-19,14.8,15.0,14.5,14.6,885700
209,IDXG,2017-10-20,14.6,14.6,13.35,13.7,2391500
210,IDXG,2017-10-23,13.6,13.7,12.6,12.7,1904900
211,IDXG,2017-10-24,12.9,12.9,11.6,12.2,1532800
212,IDXG,2017-10-25,12.4,13.2,12.2,12.9,987400
213,IDXG,2017-10-26,13.0,13.3,12.4,12.5,597900
214,IDXG,2017-10-27,12.7,12.8,12.2,12.5,632100
215,IDXG,2017-10-30,12.4,12.5,12.0,12.2,410100
216,IDXG,2017-10-31,12.1,12.4,12.0,12.2,305900
217,IDXG,2017-11-01,12.1,12.2,11.7,11.7,519300
218,IDXG,2017-11-02,11.7,12.0,11.0,11.6,829100
219,IDXG,2017-11-03,12.0,12.4,11.5,11.95,1007400
220,IDXG,2017-11-06,12.1,12.5,11.9,12.3,772400
221,IDXG,2017-11-07,12.4,12.4,11.6,11.7,738400
222,IDXG,2017-11-08,11.7,11.8,11.4,11.7,496000
223,IDXG,2017-11-09,11.7,12.3,11.5,11.9,730300
224,IDXG,2017-11-10,11.8,13.2,11.8,12.8,1509400
225,IDXG,2017-11-13,12.7,14.0,12.5,12.8,2540300
226,IDXG,2017-11-14,12.7,13.2,12.0,12.3,1053600
227,IDXG,2017-11-15,12.1,12.3,11.2,11.8,947000
228,IDXG,2017-11-16,12.0,12.3,11.8,12.1,905400
229,IDXG,2017-11-17,12.2,12.5,11.8,12.2,714500
230,IDXG,2017-11-20,12.1,12.4,11.8,11.9,519300
231,IDXG,2017-11-21,11.8,12.1,11.7,11.8,554200
232,IDXG,2017-11-22,11.9,12.0,11.7,11.8,350300
233,IDXG,2017-11-23,11.8,11.8,11.8,11.8,0
234,IDXG,2017-11-24,11.9,11.9,11.4,11.6,486200
235,IDXG,2017-11-27,11.5,11.6,10.3,11.0,1270900
236,IDXG,2017-11-28,10.9,11.2,10.7,11.0,510000
237,IDXG,2017-11-29,10.9,11.7,10.9,11.4,721900
238,IDXG,2017-11-30,11.4,11.7,10.8,11.5,778600
239,IDXG,2017-12-01,11.5,11.5,10.8,10.95,529400
240,IDXG,2017-12-04,11.0,11.0,9.7,9.9,1517300
241,IDXG,2017-12-05,9.8,10.3,9.1,10.1,1659800
242,IDXG,2017-12-06,10.2,10.4,9.6,10.0,810400
243,IDXG,2017-12-07,10.0,10.2,9.6,9.8,505400
244,IDXG,2017-12-08,9.8,10.2,9.6,10.1,353500
245,IDXG,2017-12-11,10.3,10.3,9.7,9.75,445500
246,IDXG,2017-12-12,9.7,9.9,9.0,9.7,798000
247,IDXG,2017-12-13,9.6,9.85,9.3,9.5,432700
248,IDXG,2017-12-14,9.5,10.0,9.3,9.3,515500
249,IDXG,2017-12-15,9.5,9.8,9.2,9.2,407100
250,IDXG,2017-12-18,9.6,10.4,9.3,9.8,1851700
251,IDXG,2017-12-19,9.8,10.3,9.3,9.3,969300
252,IDXG,2017-12-20,9.4,9.5,9.2,9.5,637800
253,IDXG,2017-12-21,9.5,9.5,9.2,9.4,437300
254,IDXG,2017-12-22,9.48,9.48,9.25,9.44,453400
255,IDXG,2017-12-25,9.44,9.44,9.44,9.44,0
256,IDXG,2017-12-26,9.4,10.8,9.4,10.6,2767400
257,IDXG,2017-12-27,10.9,11.0,10.2,10.7,900700
258,IDXG,2017-12-28,10.6,10.7,10.0,10.4,574800
259,IDXG,2017-12-29,10.4,10.5,10.0,10.2,575400
260,IDXG,2018-01-01,10.2,10.2,10.2,10.2,0
261,IDXG,2018-01-02,10.2,10.7,10.0,10.5,624200
262,IDXG,2018-01-03,10.7,10.8,10.2,10.6,446800
263,IDXG,2018-01-04,10.6,11.4,10.3,11.3,1189700
264,IDXG,2018-01-05,11.5,11.5,11.1,11.2,790400
265,IDXG,2018-01-08,11.5,11.5,10.6,11.1,1210500
266,IDXG,2018-01-09,11.2,11.4,10.8,11.2,579500
267,IDXG,2018-01-10,11.3,11.3,10.9,11.3,460900
268,IDXG,2018-01-11,11.2,11.9,11.0,11.5,1053500
269,IDXG,2018-01-12,11.6,11.9,11.2,11.5,645400
270,IDXG,2018-01-15,11.5,11.5,11.5,11.5,0
271,IDXG,2018-01-16,11.7,11.8,10.8,11.0,932400
272,IDXG,2018-01-17,11.0,11.0,10.5,10.8,498200
273,IDXG,2018-01-18,11.0,11.0,10.5,10.9,384700
274,IDXG,2018-01-19,10.8,10.9,10.5,10.7,213800
275,IDXG,2018-01-22,10.9,11.0,10.6,10.8,197600
276,IDXG,2018-01-23,10.9,10.9,10.5,10.7,383700
277,IDXG,2018-01-24,10.9,10.9,10.5,10.9,307100
278,IDXG,2018-01-25,10.8,10.9,10.5,10.9,431600
279,IDXG,2018-01-26,10.9,11.4,10.7,11.3,619700
280,IDXG,2018-01-29,11.3,11.4,11.1,11.2,469200
281,IDXG,2018-01-30,11.0,11.2,10.7,11.0,404100
282,IDXG,2018-01-31,11.1,11.1,10.7,10.8,263500
283,IDXG,2018-02-01,10.7,10.9,10.0,10.5,636300
284,IDXG,2018-02-02,10.5,10.7,10.0,10.0,534900
285,IDXG,2018-02-05,10.0,10.0,9.55,9.79,523900
286,IDXG,2018-02-06,9.5,9.8,9.2,9.6,519500
287,IDXG,2018-02-07,9.8,9.8,9.4,9.4,277900
288,IDXG,2018-02-08,9.5,9.7,9.0,9.2,494800
289,IDXG,2018-02-09,9.5,9.5,8.8,9.2,593100
290,IDXG,2018-02-12,9.38,9.88,9.2,9.75,405600
291,IDXG,2018-02-13,10.0,10.0,9.4,9.5,206900
292,IDXG,2018-02-14,9.8,9.8,9.4,9.7,240200
293,IDXG,2018-02-15,9.7,9.8,9.45,9.6,198800
294,IDXG,2018-02-16,9.7,9.8,9.5,9.5,89700
295,IDXG,2018-02-19,9.5,9.5,9.5,9.5,0
296,IDXG,2018-02-20,9.7,9.71,9.2,9.25,214600
297,IDXG,2018-02-21,9.3,9.5,9.1,9.3,163700
298,IDXG,2018-02-22,9.8,10.8,9.5,10.5,2173100
299,IDXG,2018-02-23,10.7,10.7,10.0,10.5,931400
300,IDXG,2018-02-26,10.7,11.0,10.2,10.4,378800
301,IDXG,2018-02-27,10.5,10.5,10.0,10.2,756600
302,IDXG,2018-02-28,10.2,10.6,10.0,10.1,1081700
303,IDXG,2018-03-01,10.0,10.2,9.4,9.7,515800
304,IDXG,2018-03-02,9.8,10.1,9.7,10.1,374200
305,IDXG,2018-03-05,10.0,10.2,9.85,10.1,207300
306,IDXG,2018-03-06,10.2,10.4,10.0,10.1,351300
307,IDXG,2018-03-07,10.0,10.3,9.6,10.1,290800
308,IDXG,2018-03-08,10.6,10.7,10.3,10.3,703400
309,IDXG,2018-03-09,10.5,11.0,10.3,10.8,731700
310,IDXG,2018-03-12,10.8,11.2,10.7,10.8,698200
311,IDXG,2018-03-13,10.8,11.0,10.3,10.4,504500
312,IDXG,2018-03-14,10.6,10.7,10.3,10.6,398700
313,IDXG,2018-03-15,11.0,11.3,10.7,11.0,944800
314,IDXG,2018-03-16,10.0,10.5,9.5,10.5,1744700
315,IDXG,2018-03-19,10.3,10.3,9.8,10.1,695600
316,IDXG,2018-03-20,10.5,10.6,9.9,10.2,773800
317,IDXG,2018-03-21,10.2,10.2,9.9,10.0,312300
318,IDXG,2018-03-22,10.1,10.1,9.6,9.95,338800
319,IDXG,2018-03-23,9.7,9.8,9.2,9.4,1005500
320,IDXG,2018-03-26,9.4,9.6,9.1,9.3,461800
321,IDXG,2018-03-27,9.3,9.4,9.1,9.1,225700
322,IDXG,2018-03-28,9.5,9.5,8.5,8.7,591200
323,IDXG,2018-03-29,8.7,9.3,8.7,8.8,441700
324,IDXG,2018-03-30,8.8,8.8,8.8,8.8,0
325,IDXG,2018-04-02,9.15,9.15,8.5,8.65,453000
326,IDXG,2018-04-03,8.6,8.9,8.6,8.7,313200
327,IDXG,2018-04-04,8.6,8.95,8.55,8.85,287800
